1.000000119209289551e+00,6.456884741783142090e-02,1.475757658481597900e-01,1.964528113603591919e-01,2.399865090847015381e-01,1.456130146980285645e-01,4.470419511198997498e-02,1.278752833604812622e-01,-3.950989246368408203e-02,-7.390850782394409180e-02,-1.675511710345745087e-02,6.224673241376876831e-02,6.583884358406066895e-03,4.012021794915199280e-02,4.432468488812446594e-02,1.072223931550979614e-01,-3.926300257444381714e-02,6.134391203522682190e-02,7.405345886945724487e-02,-3.644917160272598267e-04
6.456884741783142090e-02,1.000000119209289551e+00,8.614037185907363892e-03,3.017514348030090332e-01,1.575537621974945068e-01,9.377457946538925171e-02,5.130733922123908997e-02,-1.968300528824329376e-02,1.195480395108461380e-02,5.289456993341445923e-02,1.201690919697284698e-02,7.791151851415634155e-02,-5.733168870210647583e-02,9.373530745506286621e-03,-1.233636960387229919e-02,6.891271471977233887e-02,4.643696919083595276e-02,5.799498781561851501e-02,8.320047706365585327e-02,1.417169719934463501e-01
1.475757658481597900e-01,8.614037185907363892e-03,1.000000238418579102e+00,3.289987146854400635e-02,3.660639375448226929e-02,1.244098991155624390e-01,8.242260664701461792e-04,-9.478571824729442596e-03,7.487668097019195557e-02,-4.490292072296142578e-02,-6.936975568532943726e-02,-2.564449049532413483e-02,-1.186200007796287537e-01,3.217682987451553345e-02,-6.045178323984146118e-02,-2.926287613809108734e-02,1.600645035505294800e-01,-1.010697185993194580e-01,1.220506522804498672e-02,-6.386111676692962646e-02
1.964528113603591919e-01,3.017514348030090332e-01,3.289987146854400635e-02,1.000000238418579102e+00,1.718592941761016846e-01,1.133154928684234619e-01,8.263172954320907593e-02,2.589748799800872803e-01,-2.451100945472717285e-02,2.549949288368225098e-02,1.112484857439994812e-01,1.652852147817611694e-01,2.052037790417671204e-02,6.960942596197128296e-02,1.028529927134513855e-01,-2.752140164375305176e-03,6.430597603321075439e-02,8.941908925771713257e-02,5.897550284862518311e-02,3.442344069480895996e-02
2.399865090847015381e-01,1.575537621974945068e-01,3.660639375448226929e-02,1.718592941761016846e-01,9.999998807907104492e-01,-3.132488951086997986e-02,3.886033222079277039e-02,-5.209669098258018494e-02,-8.148042857646942139e-02,1.266965568065643311e-01,1.760955527424812317e-02,6.494548916816711426e-02,1.129929050803184509e-01,7.840261608362197876e-02,2.479833364486694336e-02,1.395527124404907227e-01,-2.013877779245376587e-02,5.035045742988586426e-02,1.069563534110784531e-02,-4.816801100969314575e-02
1.456130146980285645e-01,9.377457946538925171e-02,1.244098991155624390e-01,1.133154928684234619e-01,-3.132488951086997986e-02,9.999998807907104492e-01,4.016435146331787109e-02,2.435655891895294189e-01,2.183408141136169434e-01,5.709642171859741211e-02,3.599548712372779846e-02,1.383080929517745972e-01,5.038706585764884949e-02,1.018311828374862671e-01,1.379338353872299194e-01,4.701034724712371826e-02,-6.112225353717803955e-02,-1.169644296169281006e-02,1.129928156733512878e-01,1.970104575157165527e-01
4.470419511198997498e-02,5.130733922123908997e-02,8.242260664701461792e-04,8.263172954320907593e-02,3.886033222079277039e-02,4.016435146331787109e-02,1.000000000000000000e+00,-5.307771638035774231e-02,-1.778160780668258667e-02,-4.501774907112121582e-02,-4.918495565652847290e-02,-5.763329938054084778e-02,-7.541348785161972046e-02,-1.643991470336914062e-02,2.352491393685340881e-02,2.307604551315307617e-01,1.805259846150875092e-02,2.508103251457214355e-01,-5.684169381856918335e-02,1.627735327929258347e-03
1.278752833604812622e-01,-1.968300528824329376e-02,-9.478571824729442596e-03,2.589748799800872803e-01,-5.209669098258018494e-02,2.435655891895294189e-01,-5.307771638035774231e-02,9.999998211860656738e-01,1.567853987216949463e-02,1.028920859098434448e-01,8.177887648344039917e-04,6.504076719284057617e-02,9.115391969680786133e-02,1.113199889659881592e-01,2.122660279273986816e-01,-5.542351678013801575e-02,-2.966162376105785370e-02,-4.766788333654403687e-05,4.684103280305862427e-02,1.541013717651367188e-01
-3.950989246368408203e-02,1.195480395108461380e-02,7.487668097019195557e-02,-2.451100945472717285e-02,-8.148042857646942139e-02,2.183408141136169434e-01,-1.778160780668258667e-02,1.567853987216949463e-02,1.000000119209289551e+00,6.308242678642272949e-02,2.485388703644275665e-02,1.025849580764770508e-02,5.033489689230918884e-02,1.033107638359069824e-01,1.652406714856624603e-02,7.142821699380874634e-02,7.897632569074630737e-02,-4.274261370301246643e-02,7.606486231088638306e-02,9.957684576511383057e-02
-7.390850782394409180e-02,5.289456993341445923e-02,-4.490292072296142578e-02,2.549949288368225098e-02,1.266965568065643311e-01,5.709642171859741211e-02,-4.501774907112121582e-02,1.028920859098434448e-01,6.308242678642272949e-02,9.999996423721313477e-01,9.805933386087417603e-02,-5.393510684370994568e-02,1.523322761058807373e-01,1.423932015895843506e-01,2.835172414779663086e-02,-1.450132951140403748e-02,1.147676259279251099e-02,-5.549420416355133057e-02,2.764762379229068756e-03,2.612129412591457367e-02
-1.675511710345745087e-02,1.201690919697284698e-02,-6.936975568532943726e-02,1.112484857439994812e-01,1.760955527424812317e-02,3.599548712372779846e-02,-4.918495565652847290e-02,8.177887648344039917e-04,2.485388703644275665e-02,9.805933386087417603e-02,1.000000119209289551e+00,1.716507971286773682e-01,2.129789292812347412e-01,1.840113848447799683e-01,1.525695174932479858e-01,3.801941126585006714e-02,5.554073303937911987e-02,7.417723536491394043e-02,1.333898901939392090e-01,1.099683642387390137e-01
6.224673241376876831e-02,7.791151851415634155e-02,-2.564449049532413483e-02,1.652852147817611694e-01,6.494548916816711426e-02,1.383080929517745972e-01,-5.763329938054084778e-02,6.504076719284057617e-02,1.025849580764770508e-02,-5.393510684370994568e-02,1.716507971286773682e-01,9.999998807907104492e-01,1.931524276733398438e-01,2.284305840730667114e-01,2.851008772850036621e-01,1.078902184963226318e-01,-5.483325943350791931e-02,4.462419077754020691e-02,2.426516711711883545e-01,9.125271439552307129e-02
6.583884358406066895e-03,-5.733168870210647583e-02,-1.186200007796287537e-01,2.052037790417671204e-02,1.129929050803184509e-01,5.038706585764884949e-02,-7.541348785161972046e-02,9.115391969680786133e-02,5.033489689230918884e-02,1.523322761058807373e-01,2.129789292812347412e-01,1.931524276733398438e-01,1.000000119209289551e+00,1.295500397682189941e-01,1.629922986030578613e-01,5.631317198276519775e-02,4.888669401407241821e-02,-2.456246642395853996e-03,6.289498507976531982e-02,6.663294509053230286e-03
4.012021794915199280e-02,9.373530745506286621e-03,3.217682987451553345e-02,6.960942596197128296e-02,7.840261608362197876e-02,1.018311828374862671e-01,-1.643991470336914062e-02,1.113199889659881592e-01,1.033107638359069824e-01,1.423932015895843506e-01,1.840113848447799683e-01,2.284305840730667114e-01,1.295500397682189941e-01,1.000000000000000000e+00,2.228344529867172241e-01,7.119547575712203979e-02,4.859060049057006836e-02,-8.902119472622871399e-03,2.214854806661605835e-01,1.155967339873313904e-01
4.432468488812446594e-02,-1.233636960387229919e-02,-6.045178323984146118e-02,1.028529927134513855e-01,2.479833364486694336e-02,1.379338353872299194e-01,2.352491393685340881e-02,2.122660279273986816e-01,1.652406714856624603e-02,2.835172414779663086e-02,1.525695174932479858e-01,2.851008772850036621e-01,1.629922986030578613e-01,2.228344529867172241e-01,9.999998211860656738e-01,6.145281344652175903e-02,-7.254213094711303711e-02,-1.105055026710033417e-02,7.740955799818038940e-02,1.311180889606475830e-01
1.072223931550979614e-01,6.891271471977233887e-02,-2.926287613809108734e-02,-2.752140164375305176e-03,1.395527124404907227e-01,4.701034724712371826e-02,2.307604551315307617e-01,-5.542351678013801575e-02,7.142821699380874634e-02,-1.450132951140403748e-02,3.801941126585006714e-02,1.078902184963226318e-01,5.631317198276519775e-02,7.119547575712203979e-02,6.145281344652175903e-02,9.999998807907104492e-01,-2.452715672552585602e-02,3.013464212417602539e-01,3.100799024105072021e-02,1.532151550054550171e-01
